t,X_0.0,X_0.1,X_0.2,X_0.3,X_0.4,X_0.5,X_0.6,X_0.7,X_0.8,X_0.9,X_1.0,X_1.1,X_1.2,X_1.3,X_1.4,X_1.5,X_1.6,X_1.7,X_1.8,X_1.9,X_2.0
51120,0.376149,0.375745,0.374532,0.372504,0.369656,0.365976,0.361449,0.356056,0.349770,0.342555,0.334365,0.325138,0.314787,0.303195,0.290189,0.275511,0.258749,0.239183,0.215359,0.183411,0.118503
51180,0.375676,0.375273,0.374061,0.372037,0.369194,0.365520,0.361001,0.355617,0.349341,0.342138,0.333962,0.324749,0.314415,0.302841,0.289854,0.275198,0.258460,0.238921,0.215126,0.183209,0.118258
51240,0.375205,0.374802,0.373592,0.371572,0.368733,0.365065,0.360554,0.355179,0.348913,0.341722,0.333559,0.324361,0.314044,0.302487,0.289521,0.274886,0.258173,0.238660,0.214893,0.183008,0.118014
51300,0.374735,0.374333,0.373125,0.371108,0.368274,0.364612,0.360109,0.354742,0.348487,0.341308,0.333158,0.323975,0.313674,0.302136,0.289189,0.274576,0.257886,0.238399,0.214662,0.182808,0.117772
51360,0.374266,0.373865,0.372659,0.370645,0.367816,0.364161,0.359665,0.354307,0.348062,0.340895,0.332759,0.323590,0.313305,0.301785,0.288858,0.274266,0.257600,0.238140,0.214432,0.182609,0.117530
51420,0.373799,0.373398,0.372195,0.370184,0.367360,0.363711,0.359222,0.353874,0.347639,0.340483,0.332360,0.323207,0.312938,0.301435,0.288528,0.273958,0.257316,0.237881,0.214203,0.182411,0.117290
51480,0.373333,0.372933,0.371732,0.369725,0.366905,0.363262,0.358781,0.353441,0.347217,0.340073,0.331963,0.322824,0.312572,0.301087,0.288199,0.273651,0.257032,0.237624,0.213974,0.182214,0.117051
51540,0.372869,0.372470,0.371270,0.369267,0.366452,0.362815,0.358341,0.353011,0.346797,0.339664,0.331567,0.322443,0.312207,0.300740,0.287871,0.273345,0.256749,0.237368,0.213747,0.182018,0.116813
51600,0.372406,0.372008,0.370810,0.368810,0.366000,0.362369,0.357903,0.352581,0.346377,0.339257,0.331173,0.322063,0.311843,0.300394,0.287545,0.273039,0.256468,0.237112,0.213520,0.181822,0.116576
51660,0.371945,0.371547,0.370352,0.368355,0.365550,0.361925,0.357466,0.352153,0.345959,0.338850,0.330780,0.321684,0.311480,0.300049,0.287219,0.272735,0.256187,0.236857,0.213294,0.181628,0.116340
51720,0.371485,0.371088,0.369895,0.367901,0.365101,0.361482,0.357031,0.351726,0.345543,0.338446,0.330388,0.321307,0.311119,0.299705,0.286895,0.272432,0.255908,0.236604,0.213069,0.181434,0.116106
51780,0.371027,0.370631,0.369439,0.367449,0.364653,0.361041,0.356596,0.351301,0.345128,0.338042,0.329997,0.320931,0.310759,0.299362,0.286572,0.272130,0.255629,0.236351,0.212846,0.181241,0.115872
51840,0.370570,0.370174,0.368985,0.366998,0.364207,0.360600,0.356164,0.350877,0.344714,0.337640,0.329608,0.320556,0.310400,0.299021,0.286250,0.271829,0.255351,0.236099,0.212623,0.181050,0.115640
51900,0.370115,0.369720,0.368532,0.366549,0.363762,0.360162,0.355732,0.350454,0.344301,0.337239,0.329220,0.320182,0.310042,0.298681,0.285929,0.271530,0.255075,0.235848,0.212400,0.180859,0.115409
51960,0.369661,0.369266,0.368081,0.366101,0.363319,0.359724,0.355302,0.350033,0.343890,0.336839,0.328833,0.319810,0.309685,0.298342,0.285609,0.271231,0.254799,0.235598,0.212179,0.180668,0.115179
52020,0.369209,0.368815,0.367631,0.365655,0.362877,0.359289,0.354874,0.349613,0.343480,0.336440,0.328447,0.319438,0.309330,0.298004,0.285290,0.270933,0.254524,0.235349,0.211959,0.180479,0.114951
52080,0.368758,0.368364,0.367183,0.365209,0.362437,0.358854,0.354447,0.349195,0.343072,0.336043,0.328063,0.319068,0.308976,0.297667,0.284972,0.270636,0.254251,0.235101,0.211739,0.180291,0.114723
52140,0.368308,0.367915,0.366736,0.364766,0.361998,0.358421,0.354021,0.348777,0.342665,0.335647,0.327680,0.318699,0.308622,0.297331,0.284655,0.270340,0.253978,0.234854,0.211521,0.180103,0.114497
52200,0.367860,0.367468,0.366290,0.364323,0.361560,0.357989,0.353596,0.348362,0.342259,0.335253,0.327298,0.318332,0.308270,0.296996,0.284339,0.270045,0.253706,0.234608,0.211303,0.179917,0.114271
52260,0.367413,0.367022,0.365846,0.363883,0.361124,0.357559,0.353173,0.347947,0.341854,0.334859,0.326917,0.317965,0.307920,0.296663,0.284025,0.269752,0.253435,0.234362,0.211086,0.179731,0.114047
52320,0.366968,0.366577,0.365403,0.363443,0.360689,0.357130,0.352751,0.347534,0.341451,0.334467,0.326538,0.317600,0.307570,0.296330,0.283711,0.269459,0.253166,0.234118,0.210870,0.179546,0.113824
52380,0.366524,0.366134,0.364962,0.363005,0.360255,0.356702,0.352331,0.347122,0.341049,0.334076,0.326160,0.317236,0.307221,0.295999,0.283399,0.269167,0.252897,0.233874,0.210654,0.179362,0.113602
52440,0.366081,0.365692,0.364522,0.362568,0.359823,0.356276,0.351912,0.346711,0.340648,0.333687,0.325783,0.316873,0.306874,0.295669,0.283087,0.268876,0.252629,0.233632,0.210440,0.179178,0.113381
52500,0.365640,0.365251,0.364083,0.362133,0.359392,0.355851,0.351494,0.346302,0.340248,0.333299,0.325407,0.316511,0.306528,0.295339,0.282777,0.268586,0.252362,0.233390,0.210226,0.178996,0.113161
52560,0.365200,0.364812,0.363646,0.361699,0.358963,0.355427,0.351077,0.345894,0.339850,0.332912,0.325032,0.316151,0.306183,0.295011,0.282468,0.268298,0.252095,0.233149,0.210014,0.178814,0.112942
52620,0.364762,0.364374,0.363210,0.361266,0.358535,0.355005,0.350662,0.345487,0.339453,0.332526,0.324659,0.315791,0.305839,0.294684,0.282159,0.268010,0.251830,0.232909,0.209802,0.178633,0.112724
52680,0.364325,0.363938,0.362776,0.360835,0.358108,0.354584,0.350248,0.345082,0.339057,0.332141,0.324287,0.315433,0.305496,0.294358,0.281852,0.267723,0.251566,0.232670,0.209591,0.178453,0.112508
52740,0.363889,0.363503,0.362343,0.360405,0.357682,0.354164,0.349836,0.344677,0.338663,0.331758,0.323916,0.315076,0.305154,0.294033,0.281545,0.267437,0.251303,0.232431,0.209380,0.178274,0.112292
52800,0.363455,0.363069,0.361911,0.359977,0.357258,0.353746,0.349425,0.344274,0.338270,0.331375,0.323546,0.314720,0.304813,0.293710,0.281240,0.267152,0.251040,0.232194,0.209171,0.178095,0.112077
52860,0.363022,0.362637,0.361481,0.359549,0.356836,0.353329,0.349015,0.343873,0.337878,0.330995,0.323178,0.314365,0.304474,0.293387,0.280936,0.266868,0.250779,0.231957,0.208962,0.177917,0.111864
52920,0.362590,0.362206,0.361052,0.359123,0.356414,0.352913,0.348606,0.343472,0.337487,0.330615,0.322810,0.314011,0.304135,0.293065,0.280633,0.266585,0.250518,0.231721,0.208754,0.177740,0.111651
52980,0.362160,0.361776,0.360624,0.358699,0.355994,0.352499,0.348198,0.343073,0.337097,0.330236,0.322444,0.313659,0.303798,0.292744,0.280330,0.266303,0.250258,0.231486,0.208547,0.177564,0.111440
53040,0.361731,0.361348,0.360197,0.358276,0.355575,0.352086,0.347792,0.342676,0.336709,0.329859,0.322079,0.313308,0.303462,0.292425,0.280029,0.266022,0.249999,0.231252,0.208341,0.177389,0.111230
53100,0.361303,0.360921,0.359772,0.357854,0.355158,0.351674,0.347388,0.342279,0.336322,0.329483,0.321715,0.312957,0.303126,0.292106,0.279729,0.265742,0.249741,0.231019,0.208135,0.177214,0.111020
53160,0.360877,0.360495,0.359349,0.357433,0.354742,0.351263,0.346984,0.341884,0.335936,0.329108,0.321352,0.312608,0.302792,0.291789,0.279429,0.265463,0.249484,0.230787,0.207930,0.177040,0.110812
53220,0.360452,0.360071,0.358926,0.357014,0.354327,0.350854,0.346582,0.341489,0.335552,0.328734,0.320990,0.312260,0.302459,0.291472,0.279131,0.265184,0.249228,0.230555,0.207726,0.176867,0.110605
53280,0.360028,0.359648,0.358505,0.356596,0.353913,0.350446,0.346181,0.341097,0.335168,0.328361,0.320630,0.311913,0.302127,0.291157,0.278834,0.264907,0.248973,0.230324,0.207523,0.176695,0.110398
53340,0.359606,0.359226,0.358085,0.356179,0.353501,0.350039,0.345781,0.340705,0.334786,0.327990,0.320271,0.311567,0.301796,0.290842,0.278537,0.264630,0.248718,0.230094,0.207321,0.176523,0.110193
53400,0.359185,0.358806,0.357667,0.355764,0.353090,0.349634,0.345382,0.340315,0.334405,0.327620,0.319912,0.311222,0.301467,0.290529,0.278242,0.264355,0.248465,0.229865,0.207119,0.176352,0.109989
53460,0.358765,0.358387,0.357250,0.355350,0.352680,0.349230,0.344985,0.339925,0.334025,0.327251,0.319555,0.310879,0.301138,0.290216,0.277948,0.264080,0.248212,0.229637,0.206918,0.176182,0.109785
53520,0.358347,0.357969,0.356834,0.354937,0.352271,0.348827,0.344589,0.339537,0.333647,0.326883,0.319199,0.310536,0.300810,0.289905,0.277654,0.263807,0.247960,0.229409,0.206718,0.176013,0.109583
53580,0.357930,0.357553,0.356419,0.354525,0.351864,0.348425,0.344194,0.339151,0.333269,0.326516,0.318845,0.310195,0.300483,0.289595,0.277362,0.263534,0.247709,0.229182,0.206519,0.175844,0.109382
53640,0.357514,0.357137,0.356006,0.354115,0.351458,0.348025,0.343800,0.338765,0.332893,0.326150,0.318491,0.309854,0.300158,0.289285,0.277070,0.263262,0.247459,0.228956,0.206320,0.175676,0.109181
53700,0.357100,0.356724,0.355594,0.353706,0.351054,0.347626,0.343408,0.338381,0.332518,0.325786,0.318138,0.309515,0.299833,0.288977,0.276779,0.262991,0.247210,0.228731,0.206122,0.175509,0.108982
53760,0.356686,0.356311,0.355183,0.353298,0.350650,0.347228,0.343017,0.337997,0.332144,0.325422,0.317787,0.309177,0.299509,0.288669,0.276490,0.262721,0.246961,0.228507,0.205925,0.175342,0.108783
53820,0.356274,0.355900,0.354773,0.352892,0.350248,0.346831,0.342627,0.337615,0.331771,0.325060,0.317437,0.308840,0.299187,0.288363,0.276201,0.262452,0.246713,0.228283,0.205728,0.175176,0.108586
53880,0.355864,0.355489,0.354365,0.352487,0.349847,0.346436,0.342238,0.337235,0.331400,0.324699,0.317087,0.308504,0.298865,0.288057,0.275913,0.262183,0.246467,0.228060,0.205533,0.175011,0.108389
53940,0.355454,0.355081,0.353958,0.352083,0.349447,0.346041,0.341850,0.336855,0.331029,0.324339,0.316739,0.308168,0.298545,0.287753,0.275626,0.261916,0.246221,0.227838,0.205337,0.174847,0.108194
54000,0.355046,0.354673,0.353552,0.351680,0.349049,0.345648,0.341464,0.336477,0.330660,0.323980,0.316392,0.307834,0.298225,0.287449,0.275340,0.261649,0.245976,0.227617,0.205143,0.174683,0.107999
54060,0.354639,0.354267,0.353148,0.351278,0.348651,0.345256,0.341079,0.336099,0.330292,0.323622,0.316046,0.307501,0.297907,0.287147,0.275055,0.261384,0.245731,0.227397,0.204950,0.174520,0.107806
54120,0.354234,0.353862,0.352744,0.350878,0.348255,0.344866,0.340695,0.335723,0.329925,0.323266,0.315701,0.307170,0.297589,0.286845,0.274771,0.261119,0.245488,0.227177,0.204757,0.174357,0.107613
54180,0.353829,0.353458,0.352342,0.350479,0.347860,0.344476,0.340312,0.335348,0.329559,0.322910,0.315357,0.306839,0.297273,0.286544,0.274488,0.260855,0.245245,0.226958,0.204565,0.174196,0.107421
54240,0.353426,0.353055,0.351942,0.350081,0.347467,0.344088,0.339930,0.334974,0.329194,0.322556,0.315014,0.306509,0.296957,0.286245,0.274206,0.260592,0.245003,0.226740,0.204373,0.174034,0.107230
54300,0.353024,0.352654,0.351542,0.349685,0.347074,0.343701,0.339550,0.334602,0.328831,0.322203,0.314673,0.306180,0.296643,0.285946,0.273924,0.260329,0.244762,0.226522,0.204182,0.173874,0.107040
54360,0.352623,0.352254,0.351144,0.349289,0.346683,0.343315,0.339171,0.334230,0.328468,0.321850,0.314332,0.305852,0.296329,0.285648,0.273644,0.260068,0.244522,0.226305,0.203992,0.173714,0.106851
54420,0.352224,0.351855,0.350747,0.348895,0.346293,0.342930,0.338792,0.333860,0.328107,0.321499,0.313992,0.305525,0.296017,0.285351,0.273364,0.259807,0.244282,0.226089,0.203803,0.173555,0.106663
54480,0.351825,0.351457,0.350351,0.348502,0.345904,0.342547,0.338415,0.333491,0.327746,0.321149,0.313654,0.305200,0.295705,0.285055,0.273086,0.259548,0.244043,0.225874,0.203614,0.173397,0.106476
54540,0.351428,0.351060,0.349956,0.348110,0.345517,0.342165,0.338040,0.333122,0.327387,0.320800,0.313316,0.304875,0.295395,0.284760,0.272808,0.259289,0.243806,0.225660,0.203426,0.173239,0.106290
54600,0.351032,0.350665,0.349562,0.347720,0.345130,0.341783,0.337665,0.332755,0.327029,0.320452,0.312980,0.304551,0.295085,0.284466,0.272531,0.259031,0.243568,0.225446,0.203239,0.173082,0.106104
54660,0.350638,0.350271,0.349170,0.347330,0.344745,0.341403,0.337291,0.332390,0.326672,0.320105,0.312644,0.304229,0.294776,0.284173,0.272255,0.258774,0.243332,0.225233,0.203052,0.172926,0.105920
54720,0.350244,0.349878,0.348779,0.346942,0.344361,0.341024,0.336919,0.332025,0.326316,0.319760,0.312310,0.303907,0.294469,0.283881,0.271980,0.258517,0.243096,0.225020,0.202866,0.172770,0.105736
54780,0.349852,0.349486,0.348389,0.346555,0.343978,0.340647,0.336548,0.331661,0.325962,0.319415,0.311977,0.303586,0.294162,0.283590,0.271705,0.258262,0.242862,0.224809,0.202681,0.172615,0.105553
54840,0.349461,0.349096,0.348000,0.346169,0.343596,0.340270,0.336178,0.331299,0.325608,0.319071,0.311644,0.303266,0.293856,0.283299,0.271432,0.258007,0.242628,0.224598,0.202496,0.172460,0.105371
54900,0.349071,0.348707,0.347612,0.345784,0.343215,0.339895,0.335809,0.330937,0.325255,0.318729,0.311313,0.302948,0.293551,0.283010,0.271159,0.257753,0.242394,0.224388,0.202312,0.172306,0.105190
54960,0.348682,0.348318,0.347226,0.345401,0.342836,0.339521,0.335441,0.330577,0.324904,0.318387,0.310983,0.302630,0.293247,0.282721,0.270888,0.257500,0.242162,0.224178,0.202129,0.172153,0.105010
55020,0.348295,0.347931,0.346841,0.345018,0.342457,0.339147,0.335074,0.330218,0.324553,0.318047,0.310653,0.302313,0.292944,0.282434,0.270617,0.257248,0.241930,0.223969,0.201946,0.172000,0.104831
55080,0.347908,0.347546,0.346457,0.344637,0.342080,0.338775,0.334708,0.329860,0.324204,0.317707,0.310325,0.301997,0.292642,0.282147,0.270347,0.256996,0.241699,0.223761,0.201764,0.171848,0.104652
55140,0.347523,0.347161,0.346074,0.344257,0.341704,0.338404,0.334344,0.329503,0.323855,0.317369,0.309998,0.301682,0.292341,0.281861,0.270078,0.256745,0.241469,0.223554,0.201582,0.171696,0.104475
55200,0.347139,0.346777,0.345692,0.343878,0.341329,0.338035,0.333980,0.329147,0.323508,0.317031,0.309671,0.301368,0.292041,0.281576,0.269809,0.256495,0.241239,0.223347,0.201402,0.171546,0.104298
55260,0.346756,0.346395,0.345311,0.343500,0.340955,0.337666,0.333618,0.328792,0.323162,0.316695,0.309346,0.301055,0.291742,0.281292,0.269542,0.256246,0.241010,0.223141,0.201222,0.171395,0.104122
55320,0.346374,0.346014,0.344932,0.343124,0.340583,0.337298,0.333257,0.328438,0.322817,0.316360,0.309022,0.300744,0.291444,0.281009,0.269275,0.255998,0.240782,0.222936,0.201042,0.171246,0.103947
55380,0.345993,0.345634,0.344553,0.342748,0.340211,0.336932,0.332896,0.328085,0.322473,0.316025,0.308699,0.300433,0.291146,0.280726,0.269010,0.255750,0.240555,0.222731,0.200863,0.171097,0.103773
55440,0.345614,0.345255,0.344176,0.342374,0.339841,0.336567,0.332537,0.327733,0.322129,0.315692,0.308376,0.300122,0.290850,0.280445,0.268745,0.255504,0.240329,0.222527,0.200685,0.170948,0.103600
55500,0.345236,0.344877,0.343800,0.342000,0.339471,0.336202,0.332179,0.327383,0.321787,0.315360,0.308055,0.299813,0.290554,0.280164,0.268480,0.255258,0.240103,0.222324,0.200507,0.170800,0.103427
55560,0.344858,0.344500,0.343425,0.341628,0.339103,0.335839,0.331822,0.327033,0.321446,0.315028,0.307734,0.299505,0.290259,0.279884,0.268217,0.255013,0.239878,0.222121,0.200330,0.170653,0.103255
55620,0.344482,0.344125,0.343051,0.341257,0.338736,0.335477,0.331466,0.326685,0.321106,0.314698,0.307415,0.299198,0.289966,0.279606,0.267955,0.254768,0.239653,0.221919,0.200154,0.170506,0.103084
55680,0.344107,0.343750,0.342678,0.340887,0.338370,0.335116,0.331112,0.326337,0.320767,0.314369,0.307097,0.298892,0.289673,0.279328,0.267693,0.254524,0.239430,0.221718,0.199978,0.170360,0.102914
55740,0.343733,0.343377,0.342307,0.340518,0.338005,0.334756,0.330758,0.325991,0.320429,0.314040,0.306779,0.298586,0.289381,0.279050,0.267432,0.254282,0.239207,0.221517,0.199803,0.170214,0.102745
55800,0.343361,0.343005,0.341936,0.340151,0.337641,0.334397,0.330405,0.325645,0.320092,0.313713,0.306463,0.298282,0.289090,0.278774,0.267172,0.254039,0.238984,0.221317,0.199628,0.170069,0.102576
55860,0.342989,0.342634,0.341567,0.339784,0.337278,0.334040,0.330054,0.325301,0.319756,0.313387,0.306147,0.297978,0.288800,0.278499,0.266913,0.253798,0.238763,0.221118,0.199454,0.169925,0.102409
55920,0.342618,0.342264,0.341198,0.339418,0.336917,0.333683,0.329703,0.324958,0.319422,0.313061,0.305832,0.297676,0.288510,0.278224,0.266654,0.253557,0.238542,0.220919,0.199281,0.169781,0.102242
55980,0.342249,0.341895,0.340831,0.339054,0.336556,0.333327,0.329353,0.324615,0.319088,0.312737,0.305519,0.297374,0.288222,0.277950,0.266397,0.253318,0.238322,0.220721,0.199108,0.169638,0.102075
56040,0.341881,0.341527,0.340465,0.338691,0.336197,0.332973,0.329005,0.324274,0.318755,0.312413,0.305206,0.297073,0.287934,0.277677,0.266140,0.253078,0.238102,0.220524,0.198936,0.169495,0.101910
56100,0.341513,0.341160,0.340100,0.338328,0.335838,0.332619,0.328658,0.323934,0.318423,0.312091,0.304894,0.296773,0.287648,0.277405,0.265884,0.252840,0.237884,0.220327,0.198764,0.169353,0.101745
56160,0.341147,0.340795,0.339736,0.337967,0.335481,0.332267,0.328311,0.323595,0.318092,0.311769,0.304583,0.296474,0.287362,0.277134,0.265628,0.252602,0.237666,0.220131,0.198593,0.169211,0.101582
56220,0.340782,0.340430,0.339373,0.337607,0.335124,0.331915,0.327966,0.323256,0.317762,0.311449,0.304273,0.296176,0.287077,0.276863,0.265374,0.252365,0.237448,0.219936,0.198423,0.169070,0.101419
56280,0.340418,0.340067,0.339011,0.337248,0.334769,0.331565,0.327621,0.322919,0.317433,0.311129,0.303964,0.295879,0.286793,0.276594,0.265120,0.252129,0.237232,0.219741,0.198253,0.168929,0.101256
56340,0.340055,0.339704,0.338651,0.336890,0.334415,0.331216,0.327278,0.322583,0.317105,0.310811,0.303656,0.295583,0.286509,0.276325,0.264867,0.251894,0.237016,0.219547,0.198084,0.168789,0.101095
56400,0.339693,0.339343,0.338291,0.336533,0.334062,0.330867,0.326936,0.322248,0.316778,0.310493,0.303349,0.295287,0.286227,0.276057,0.264615,0.251659,0.236800,0.219353,0.197915,0.168649,0.100934
56460,0.339333,0.338983,0.337932,0.336177,0.333709,0.330520,0.326594,0.321913,0.316452,0.310176,0.303043,0.294993,0.285945,0.275789,0.264363,0.251425,0.236586,0.219160,0.197747,0.168510,0.100774
56520,0.338973,0.338624,0.337575,0.335822,0.333358,0.330174,0.326254,0.321580,0.316127,0.309860,0.302738,0.294699,0.285665,0.275523,0.264113,0.251192,0.236372,0.218968,0.197579,0.168372,0.100615
56580,0.338614,0.338266,0.337218,0.335468,0.333008,0.329828,0.325915,0.321248,0.315802,0.309546,0.302433,0.294406,0.285385,0.275257,0.263863,0.250959,0.236158,0.218776,0.197412,0.168234,0.100456
56640,0.338257,0.337908,0.336863,0.335115,0.332659,0.329484,0.325576,0.320916,0.315479,0.309232,0.302130,0.294114,0.285106,0.274993,0.263614,0.250727,0.235946,0.218585,0.197246,0.168096,0.100298
56700,0.337900,0.337552,0.336508,0.334763,0.332311,0.329141,0.325239,0.320586,0.315157,0.308919,0.301827,0.293823,0.284828,0.274729,0.263365,0.250496,0.235734,0.218394,0.197080,0.167959,0.100141
56760,0.337544,0.337197,0.336155,0.334413,0.331964,0.328799,0.324903,0.320257,0.314836,0.308607,0.301525,0.293533,0.284550,0.274465,0.263118,0.250266,0.235522,0.218204,0.196915,0.167823,0.099985
56820,0.337190,0.336843,0.335802,0.334063,0.331618,0.328458,0.324567,0.319928,0.314515,0.308295,0.301224,0.293244,0.284274,0.274203,0.262871,0.250036,0.235312,0.218015,0.196750,0.167687,0.099829
56880,0.336837,0.336491,0.335451,0.333714,0.331273,0.328117,0.324233,0.319601,0.314196,0.307985,0.300925,0.292955,0.283998,0.273941,0.262625,0.249807,0.235102,0.217826,0.196586,0.167552,0.099674
56940,0.336484,0.336139,0.335101,0.333367,0.330929,0.327778,0.323900,0.319274,0.313877,0.307676,0.300625,0.292668,0.283723,0.273680,0.262379,0.249579,0.234892,0.217638,0.196422,0.167417,0.099520
57000,0.336133,0.335788,0.334751,0.333020,0.330586,0.327440,0.323567,0.318949,0.313560,0.307367,0.300327,0.292381,0.283449,0.273420,0.262135,0.249351,0.234683,0.217451,0.196259,0.167282,0.099367
57060,0.335782,0.335438,0.334403,0.332674,0.330244,0.327103,0.323236,0.318624,0.313243,0.307060,0.300030,0.292095,0.283176,0.273161,0.261891,0.249124,0.234475,0.217264,0.196096,0.167148,0.099214
57120,0.335433,0.335089,0.334056,0.332330,0.329903,0.326766,0.322905,0.318301,0.312928,0.306753,0.299734,0.291810,0.282903,0.272902,0.261647,0.248898,0.234268,0.217078,0.195934,0.167015,0.099062
57180,0.335085,0.334741,0.333710,0.331986,0.329563,0.326431,0.322576,0.317978,0.312613,0.306447,0.299438,0.291526,0.282632,0.272645,0.261405,0.248672,0.234061,0.216892,0.195772,0.166882,0.098911
57240,0.334737,0.334394,0.333364,0.331643,0.329224,0.326097,0.322247,0.317656,0.312299,0.306143,0.299143,0.291242,0.282361,0.272388,0.261163,0.248447,0.233855,0.216707,0.195611,0.166750,0.098760
57300,0.334391,0.334049,0.333020,0.331302,0.328886,0.325764,0.321920,0.317335,0.311986,0.305839,0.298850,0.290960,0.282091,0.272131,0.260922,0.248223,0.233649,0.216522,0.195451,0.166618,0.098610
57360,0.334046,0.333704,0.332677,0.330961,0.328549,0.325431,0.321593,0.317016,0.311674,0.305536,0.298557,0.290678,0.281822,0.271876,0.260682,0.248000,0.233444,0.216338,0.195291,0.166486,0.098461
57420,0.333701,0.333360,0.332335,0.330621,0.328213,0.325100,0.321267,0.316697,0.311363,0.305234,0.298264,0.290397,0.281553,0.271621,0.260442,0.247777,0.233240,0.216155,0.195131,0.166355,0.098312
57480,0.333358,0.333017,0.331993,0.330283,0.327878,0.324769,0.320942,0.316379,0.311053,0.304932,0.297973,0.290117,0.281285,0.271367,0.260203,0.247554,0.233036,0.215972,0.194972,0.166225,0.098164
57540,0.333016,0.332676,0.331653,0.329945,0.327544,0.324440,0.320619,0.316062,0.310744,0.304632,0.297683,0.289838,0.281018,0.271114,0.259965,0.247333,0.232833,0.215790,0.194814,0.166094,0.098017
57600,0.332675,0.332335,0.331314,0.329608,0.327211,0.324111,0.320296,0.315745,0.310435,0.304332,0.297393,0.289560,0.280752,0.270861,0.259728,0.247112,0.232631,0.215608,0.194656,0.165965,0.097870
57660,0.332334,0.331995,0.330976,0.329272,0.326879,0.323784,0.319974,0.315430,0.310128,0.304034,0.297104,0.289282,0.280487,0.270610,0.259491,0.246892,0.232429,0.215427,0.194499,0.165836,0.097725
57720,0.331995,0.331656,0.330638,0.328938,0.326547,0.323457,0.319653,0.315116,0.309821,0.303736,0.296817,0.289005,0.280222,0.270359,0.259255,0.246672,0.232228,0.215246,0.194342,0.165707,0.097579
57780,0.331656,0.331318,0.330302,0.328604,0.326217,0.323131,0.319333,0.314802,0.309515,0.303439,0.296530,0.288729,0.279959,0.270108,0.259019,0.246453,0.232027,0.215066,0.194185,0.165579,0.097435
57840,0.331319,0.330981,0.329967,0.328271,0.325888,0.322807,0.319014,0.314490,0.309211,0.303143,0.296243,0.288454,0.279696,0.269859,0.258785,0.246235,0.231827,0.214887,0.194030,0.165451,0.097291
57900,0.330983,0.330645,0.329632,0.327939,0.325559,0.322483,0.318695,0.314178,0.308907,0.302848,0.295958,0.288179,0.279433,0.269610,0.258551,0.246017,0.231628,0.214708,0.193874,0.165324,0.097148
57960,0.330647,0.330310,0.329299,0.327608,0.325232,0.322160,0.318378,0.313868,0.308604,0.302553,0.295673,0.287906,0.279172,0.269362,0.258317,0.245800,0.231429,0.214529,0.193719,0.165197,0.097005
58020,0.330313,0.329976,0.328966,0.327278,0.324905,0.321838,0.318062,0.313558,0.308301,0.302260,0.295390,0.287633,0.278911,0.269114,0.258085,0.245584,0.231231,0.214351,0.193565,0.165070,0.096863
58080,0.329979,0.329643,0.328635,0.326949,0.324580,0.321517,0.317746,0.313249,0.308000,0.301967,0.295107,0.287361,0.278651,0.268868,0.257853,0.245368,0.231033,0.214174,0.193411,0.164945,0.096722
58140,0.329646,0.329311,0.328304,0.326621,0.324255,0.321197,0.317432,0.312941,0.307699,0.301675,0.294825,0.287090,0.278392,0.268622,0.257622,0.245153,0.230836,0.213997,0.193258,0.164819,0.096581
58200,0.329315,0.328980,0.327974,0.326294,0.323932,0.320878,0.317118,0.312634,0.307400,0.301384,0.294543,0.286819,0.278134,0.268377,0.257391,0.244939,0.230640,0.213821,0.193105,0.164694,0.096441
58260,0.328984,0.328650,0.327646,0.325968,0.323609,0.320559,0.316805,0.312327,0.307101,0.301094,0.294263,0.286550,0.277876,0.268132,0.257161,0.244725,0.230444,0.213645,0.192952,0.164569,0.096302
58320,0.328654,0.328320,0.327318,0.325642,0.323287,0.320242,0.316493,0.312022,0.306803,0.300805,0.293983,0.286281,0.277619,0.267888,0.256932,0.244512,0.230248,0.213470,0.192800,0.164445,0.096163
58380,0.328325,0.327992,0.326991,0.325318,0.322966,0.319925,0.316182,0.311717,0.306506,0.300516,0.293704,0.286012,0.277363,0.267645,0.256703,0.244299,0.230054,0.213296,0.192649,0.164321,0.096025
58440,0.327997,0.327665,0.326665,0.324994,0.322646,0.319610,0.315872,0.311414,0.306210,0.300228,0.293426,0.285745,0.277107,0.267403,0.256475,0.244088,0.229860,0.213122,0.192498,0.164198,0.095887
58500,0.327671,0.327338,0.326340,0.324672,0.322327,0.319295,0.315563,0.311111,0.305915,0.299942,0.293149,0.285478,0.276852,0.267161,0.256248,0.243876,0.229666,0.212948,0.192347,0.164075,0.095751
58560,0.327344,0.327013,0.326016,0.324350,0.322009,0.318981,0.315254,0.310809,0.305620,0.299656,0.292872,0.285213,0.276598,0.266920,0.256021,0.243666,0.229473,0.212775,0.192197,0.163953,0.095614
58620,0.327019,0.326688,0.325693,0.324029,0.321691,0.318668,0.314947,0.310508,0.305326,0.299370,0.292597,0.284948,0.276345,0.266680,0.255795,0.243455,0.229281,0.212602,0.192047,0.163830,0.095479
58680,0.326695,0.326364,0.325370,0.323710,0.321375,0.318356,0.314640,0.310207,0.305034,0.299086,0.292322,0.284683,0.276092,0.266440,0.255570,0.243246,0.229089,0.212430,0.191898,0.163709,0.095344
58740,0.326372,0.326042,0.325049,0.323391,0.321059,0.318045,0.314334,0.309908,0.304742,0.298802,0.292048,0.284420,0.275840,0.266201,0.255346,0.243037,0.228898,0.212259,0.191750,0.163588,0.095209
