t,X_0.0,X_0.1,X_0.2,X_0.3,X_0.4,X_0.5,X_0.6,X_0.7,X_0.8,X_0.9,X_1.0,X_1.1,X_1.2,X_1.3,X_1.4,X_1.5,X_1.6,X_1.7,X_1.8,X_1.9,X_2.0
1500,2.549993,2.549990,2.549980,2.549953,2.549887,2.549731,2.549379,2.548621,2.547061,2.544006,2.538311,2.528221,2.511226,2.484010,2.442554,2.382447,2.299415,2.190018,2.052392,1.886864,1.696251
1560,2.549988,2.549984,2.549969,2.549930,2.549838,2.549628,2.549173,2.548222,2.546328,2.542724,2.536187,2.524888,2.506281,2.477086,2.433417,2.371109,2.286230,2.175729,2.038097,1.873877,1.685925
1620,2.549981,2.549975,2.549953,2.549898,2.549772,2.549497,2.548917,2.547746,2.545477,2.541278,2.533850,2.521304,2.501075,2.469930,2.424129,2.359747,2.273180,2.161731,2.024203,1.861336,1.676000
1680,2.549971,2.549962,2.549931,2.549855,2.549688,2.549333,2.548608,2.547184,2.544502,2.539661,2.531298,2.517474,2.495618,2.462561,2.414709,2.348381,2.260277,2.148025,2.010704,1.849215,1.666437
1740,2.549955,2.549943,2.549900,2.549798,2.549580,2.549130,2.548236,2.546529,2.543394,2.537869,2.528532,2.513405,2.489924,2.454994,2.405177,2.337023,2.247520,2.134592,1.997562,1.837480,1.657324
1800,2.549934,2.549918,2.549859,2.549725,2.549444,2.548882,2.547797,2.545774,2.542148,2.535898,2.525551,2.509101,2.484004,2.447246,2.395546,2.325679,2.234903,2.121412,1.984755,1.826140,1.648613
1860,2.549904,2.549882,2.549805,2.549631,2.549277,2.548585,2.547283,2.544913,2.540758,2.533744,2.522355,2.504569,2.477868,2.439328,2.385826,2.314357,2.222427,2.108485,1.972288,1.815183,1.640239
1920,2.549865,2.549836,2.549735,2.549513,2.549073,2.548233,2.546687,2.543938,2.539218,2.531405,2.518947,2.499814,2.471526,2.431255,2.376033,2.303066,2.210099,2.095813,1.960160,1.804595,1.632102
1980,2.549812,2.549775,2.549645,2.549368,2.548827,2.547819,2.546003,2.542842,2.537522,2.528878,2.515328,2.494844,2.464992,2.423041,2.366184,2.291825,2.197937,2.083414,1.948374,1.794329,1.624174
2040,2.549743,2.549696,2.549533,2.549190,2.548533,2.547336,2.545225,2.541621,2.535668,2.526163,2.511502,2.489668,2.458277,2.414704,2.356294,2.280645,2.185942,2.071271,1.936890,1.784353,1.616520
2100,2.549656,2.549596,2.549395,2.548974,2.548188,2.546780,2.544347,2.540269,2.533652,2.523259,2.507474,2.484294,2.451395,2.406256,2.346374,2.269533,2.174112,2.059373,1.925692,1.774667,1.609084
