scenario,T_platform_C,hm_factor,r_cm,X_event,is_pareto,representative
T48.25_hm1,48.25,1,0.46,0.1480485791,False,
T48.25_hm1,48.25,1,0.48,0.1478724807,False,
T48.25_hm1,48.25,1,0.5,0.1476884347,False,
T48.25_hm1,48.25,1,0.52,0.1474963758,False,
T48.25_hm1,48.25,1,0.54,0.1472961002,False,
T48.25_hm1,48.25,1,0.56,0.147087636,False,
T48.25_hm1,48.25,1,0.58,0.1468709378,False,
T48.25_hm1,48.25,1,0.6,0.1466459247,False,
T48.25_hm1,48.25,1,0.62,0.146412503,False,
T48.25_hm1,48.25,1,0.64,0.1461704238,False,
T48.25_hm1,48.25,1,0.66,0.1459197561,False,
T48.25_hm1,48.25,1,0.68,0.1456604,False,
T48.25_hm1,48.25,1,0.7,0.1453922504,False,
T48.25_hm1,48.25,1,0.72,0.145115144,False,
T48.25_hm1,48.25,1,0.74,0.1448288823,False,
T48.25_hm1,48.25,1,0.76,0.1445334727,False,
T48.25_hm1,48.25,1,0.78,0.1442287858,False,
T48.25_hm1,48.25,1,0.8,0.1439146858,False,
T48.25_hm1,48.25,1,0.82,0.1435909251,False,
T48.25_hm1,48.25,1,0.84,0.1432573578,False,
T48.25_hm1,48.25,1,0.86,0.1429139176,False,
T48.25_hm1,48.25,1,0.88,0.1425604365,False,
T48.25_hm1,48.25,1,0.9,0.1421967373,False,
T48.25_hm1,48.25,1,0.92,0.1418224679,False,
T48.25_hm1,48.25,1,0.94,0.1414375375,False,
T48.25_hm1,48.25,1,0.96,0.141041788,False,
T48.25_hm1,48.25,1,0.98,0.1406349985,False,
T48.25_hm1,48.25,1,1,0.1402169356,False,
T48.25_hm1,48.25,1,1.02,0.1397871111,False,
T48.25_hm1,48.25,1,1.04,0.1393454937,False,
T48.25_hm1,48.25,1,1.06,0.1388918049,False,
T48.25_hm1,48.25,1,1.08,0.1384257494,False,
T48.25_hm1,48.25,1,1.1,0.1379469501,False,
T48.25_hm1,48.25,1,1.12,0.1374549254,False,
